CSV_column,type,standard_name,standard_units,possible_units
Year,int,year,,
MonthOfYear,int,month,,
DayOfMonth,int,day,,
HourOfDay(UTC),int,hour,,
DayOfYear,,,,
DayOfCentury,,,,
AirPressure(hPa),float,,Pa,"pressure, pressureReducedToMeanSeaLevel, nonCoordinatePressure"
AirTemperature(C),float,,K,"airTemperature, dewpointTemperature"
AirTemperatureHygroClip(C),,,,
RelativeHumidity(%),float,relativeHumidity,%,
SpecificHumidity(g/kg),,,,
WindSpeed(m/s),float,windSpeed,m/s,maximumWindGustSpeed
WindDirection(d),float,windDirection,deg,maximumWindGustDirection
SensibleHeatFlux(W/m2),,,,
LatentHeatFlux(W/m2),,,,
ShortwaveRadiationDown(W/m2),,,J/m2,shortWaveRadiationIntegratedOverPeriodSpecified
ShortwaveRadiationDown_Cor(W/m2),,,,
ShortwaveRadiationUp(W/m2),,,,
ShortwaveRadiationUp_Cor(W/m2),,,,
Albedo_theta<70d,,,,
LongwaveRadiationDown(W/m2),,,J/m2,longWaveRadiationIntegratedOverPeriodSpecified
LongwaveRadiationUp(W/m2),,,,
CloudCover,,cloudCoverTotal,%,"cloudCoverTotal, horizontalVisibility, cloudAmount, heightOfBaseOfCloud"
SurfaceTemperature(C),,,,
HeightSensorBoom(m),,,m,heightOfSensorAboveLocalGroundOrDeckOfMarinePlatform
HeightStakes(m),,,m,totalSnowDepth
DepthPressureTransducer(m),,,,
DepthPressureTransducer_Cor(m),,,,
IceTemperature1(C),,,,
IceTemperature2(C),,,,
IceTemperature3(C),,,,
IceTemperature4(C),,,,
IceTemperature5(C),,,,
IceTemperature6(C),,,,
IceTemperature7(C),,,,
IceTemperature8(C),,,,
TiltToEast(d),,,,
TiltToNorth(d),,,,
TimeGPS(hhmmssUTC),,,,
LatitudeGPS(degN),float,latitude,,
LongitudeGPS(degW),float,longitude,,
ElevationGPS(m),float,heightOfStationGroundAboveMeanSeaLevel,,
HorDilOfPrecGPS,,,,
LoggerTemperature(C),,,,
FanCurrent(mA),,,,
BatteryVoltage(V),,,,
AirTemperature(K),float,airTemperature,K,
AirPressure(Pa),float,pressure,Pa,
